guideline,consensus,pyr,mirp,cerr,flash
Statistics: Interquartile range,6-9,InterquartileRange,stat_iqr,IQR,original_firstorder_InterquartileRange
Statistics: Range,6-9,Range,stat_range,Range,original_firstorder_Range
Statistics: Mean absolute deviation,6-9,MeanAbsoluteDeviation,stat_mad,MeanAbsDev,original_firstorder_MeanAbsoluteDeviation
Statistics: Robust mean absolute deviation,6-9,RobustMeanAbsoluteDeviation,stat_rmad,RobustMeanAbsDev,original_firstorder_RobustMeanAbsoluteDeviation
Statistics: Median absolute deviation,6-9,,stat_medad,,original_firstorder_MedianAbsoluteDeviation
Statistics: Coefficient of variation,6-9,,stat_cov,,original_firstorder_CoefficientOfVariation
Statistics: Quartile coefficient of dispersion,6-9,,stat_qcod,,original_firstorder_QuartileCoefficientOfDispersion
Statistics: Energy,6-9,Energy,stat_energy,Energy,original_firstorder_Energy
Statistics: Root mean square,6-9,RootMeanSquared,stat_rms,,original_firstorder_RootMeanSquared
Intensity histogram: Mean,6-9,,ih_mean,,original_ih_Mean
Intensity histogram: Variance,6-9,,ih_var,,original_ih_Variance
Intensity histogram: Skewness,6-9,,ih_skew,,original_ih_Skewness
Intensity histogram: (Excess) kurtosis,6-9,,ih_kurt,,original_ih_Kurtosis
Intensity histogram: Median,6-9,,ih_median,,original_ih_Median
Intensity histogram: Minimum,6-9,,ih_min,,original_ih_Minimum
Intensity histogram: 10th percentile,6-9,,ih_p10,,original_ih_10Percentile
Intensity histogram: 90th percentile,6-9,,ih_p90,,original_ih_90Percentile
Intensity histogram: Maximum,6-9,,ih_max,,original_ih_Maximum
Intensity histogram: Mode,6-9,,ih_mode,,original_ih_Mode
Intensity histogram: Interquartile range,6-9,,ih_iqr,,original_ih_InterquartileRange
Intensity histogram: Range,6-9,,ih_range,,original_ih_Range
Intensity histogram: Mean absolute deviation,6-9,,ih_mad,,original_ih_MeanAbsoluteDeviation
Intensity histogram: Robust mean absolute deviation,3-5,,ih_rmad,,original_ih_RobustMeanAbsoluteDeviation
Intensity histogram: Median absolute deviation,6-9,,ih_medad,,original_ih_MedianAbsoluteDeviation
Intensity histogram: Coefficient of variation,6-9,,ih_cov,,original_ih_CoefficientOfVariation
Intensity histogram: Quartile coefficient of dispersion,6-9,,ih_qcod,,original_ih_QuartileCoefficientOfDispersion
Intensity histogram: Entropy,6-9,Entropy,ih_entropy,,original_ih_Entropy
Intensity histogram: Uniformity,6-9,Uniformity,ih_uniformity,,original_ih_Uniformity
Intensity histogram: Maximum histogram gradient,6-9,,ih_max_grad,,original_ih_MaximumHistogramGradient
Intensity histogram: Maximum histogram gradient intensity,3-5,,ih_max_grad_g,,original_ih_MaximumHistogramGradientIntensity
Intensity histogram: Minimum histogram gradient,6-9,,ih_min_grad,,original_ih_MinimumHistogramGradient
Intensity histogram: Minimum histogram gradient intensity,6-9,,ih_min_grad_g,,original_ih_MinimumHistogramGradientIntensity
Intensity volume histogram: Volume fraction at 10% intensity,3-5,,ivh_v10,,original_ivh_VolumeFractionAt10Intensity
Intensity volume histogram: Volume fraction at 90% intensity,6-9,,ivh_v90,,original_ivh_VolumeFractionAt90Intensity
Intensity volume histogram: Intensity at 10% volume,3-5,,ivh_i10,,original_ivh_IntensityAt10Volume
Intensity volume histogram: Intensity at 90% volume,3-5,,ivh_i90,,original_ivh_IntensityAt90Volume
Intensity volume histogram: Volume fraction difference between 10% and 90% intensity,6-9,,ivh_diff_v10_v90,,original_ivh_VolumeFractionDifferenceBetween10And90Intensity
